,codebook_dl,num_symbols,test_rl_auc,test_rl_regret,test_auc_std,test_regret_std,test_regrets,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost
code_book1_5_9.npy,40383,202,10.330787973682007,382.10572551403163,1.9146007800608087,1.916316922732416,"[382.2723299565316, 384.5116085563569, 381.4399197674717, 380.83617703483765, 382.93075212509837, 384.3931335608357, 378.1615758028978, 382.30030730822295]",16.692,4.14,22.384,15157.384,81.154,30.661971830985916,6.855130784708249,36.6841046277666,15171.684104627766,153.27766599597587
code_book3_4_6_7.npy,40492,180,24.224065570074814,368.1912351729101,2.6264729064626615,2.6291151833074236,"[368.1401286737373, 363.72604417888454, 371.5567027686161, 365.88341508180133, 371.91886541245424, 367.69229235417765, 366.8004919719965, 369.81194094161333]",15.506,4.036,23.824,10307.824,72.442,27.50301810865191,6.877263581488934,37.714285714285715,10321.714285714286,140.5472837022133
code_book2_5_6_7.npy,40843,188,15.448143172993555,376.97663682775794,1.4572804991429626,1.459157462119008,"[374.01701975915944, 376.5881444431394, 376.39517320196376, 377.50307220515117, 378.62606625134555, 379.10882405229853, 376.49656460758877, 377.07823010141726]",15.744,3.958,23.968,11058.968,69.904,29.714285714285715,6.889336016096579,40.2897384305835,11075.289738430583,140.00804828973844
code_book3_4_5_8.npy,41926,190,26.587284779453444,365.8266915215777,1.8480274639143563,1.8510954884381352,"[365.2532625979306, 367.5328696604784, 367.8108523653388, 367.8826960551674, 361.91952579137876, 365.0332001713644, 365.56376308900195, 365.6173624419612]",15.156,3.802,23.168,11821.168,67.024,27.150905432595575,6.609657947686117,37.7625754527163,11835.762575452716,131.59557344064388
code_book1_5_6_8.npy,42144,205,11.353689548617425,381.08181414840885,2.649701407050382,2.6513092748318545,"[382.2841184715537, 386.6909351432091, 381.61269266283625, 376.88620177155224, 381.71726367744134, 379.71315575071685, 380.23094271936293, 379.51920299059856]",16.468,4.226,24.272,13208.272,74.314,30.37022132796781,6.959758551307847,39.14688128772636,13223.146881287727,140.96579476861166
code_book2_4_6_8.npy,42434,202,16.518384381680754,375.9070407707927,2.558557508754848,2.5624610350319665,"[379.7455831911148, 374.49282809562135, 378.618775378896, 376.6399398032995, 371.75512908335287, 373.0520104720722, 377.44234657043756, 375.5097135715475]",15.552,4.044,24.672,12962.672,72.548,28.056338028169016,6.82092555331992,39.420523138833,12977.420523138833,141.70623742454728
code_book2_3_7_8.npy,42440,204,10.876026125131146,381.5514617688917,5.236441478391835,5.2427731171945355,"[385.584516060723, 381.5675119636916, 389.1888695937929, 382.3062786742869, 376.9606332430691, 377.7545200242855, 386.63170998171034, 372.4176546095747]",15.77,4.38,25.296,13513.296,84.944,28.832997987927566,7.563380281690141,41.6579476861167,13529.657947686117,170.66197183098592
code_book1_4_7_8.npy,43927,226,10.891917952941613,381.540134296969,3.1233544840913567,3.1257131809848007,"[386.66511176493054, 379.6590535199406, 379.78011907265034, 383.1831054031832, 378.24822442692926, 378.24075569278403, 385.995959112845, 380.5487453824888]",15.544,4.144,23.6,15134.6,81.336,28.28370221327968,6.917505030181086,38.3420523138833,15149.342052313883,161.102615694165
code_book2_4_5_9.npy,44917,215,15.148000833521639,377.28109675298316,3.3180751598002294,3.3201411550450985,"[379.6075113279143, 376.97204945812246, 376.6182866980371, 378.1324726690823, 375.30648032002705, 383.3795425567091, 370.9231192579398, 377.309311736033]",15.238,4.006,24.688,15213.688,72.086,27.822937625754527,7.020120724346077,40.370221327967805,15229.370221327968,144.03420523138834
code_book2_3_6_9.npy,45070,224,11.744212200258486,380.6858569640369,2.3056921023823516,2.305754060131151,"[382.16924542705954, 375.42049321228495, 382.66973242033623, 382.3974698177647, 381.37784884410803, 380.8942403359844, 378.71547851850346, 381.8423471362536]",15.228,4.35,25.04,15983.04,85.814,27.925553319919516,7.565392354124748,40.83702213279678,15998.837022132797,175.48893360160966
